,source,target,value
0,france,russia,12
1,germany,russia,26
2,austria,germany,17
3,austria,hungary,6
4,bulgaria,hungary,6
5,bulgaria,russia,6
6,germany,italy,26
7,germany,spain,2
8,france,spain,1
9,france,poland,15
10,france,germany,26
11,germany,poland,24
12,estonia,germany,5
13,estonia,latvia,12
14,latvia,lithuania,6
15,finland,lithuania,12
16,finland,germany,11
17,netherlands,poland,6
18,luxembourg,netherlands,6
19,belgium,luxembourg,4
20,belgium,denmark,5
21,denmark,norway,12
22,denmark,sweden,6
23,germany,sweden,6
24,france,italy,4
25,albania,greece,12
26,greece,ukraine,2
27,belarus,ukraine,6
28,belarus,libya,3
29,egypt,libya,16
30,egypt,iraq,5
31,germany,japan,25
32,japan,russia,16
33,germany,morocco,1
34,algeria,morocco,6
35,algeria,italy,6
36,japan,thailand,6
37,singapore,thailand,6
38,japan,singapore,5
39,japan,philippines,12
40,japan,solomon islands,9
41,india,japan,12
42,france,india,6
43,india,pakistan,15
44,israel,pakistan,6
45,israel,south africa,12
46,israel,libya,5
47,iran,libya,6
48,germany,iran,3
49,france,japan,4
50,india,papua new guinea,3
51,pakistan,philippines,5
52,laos,philippines,5
53,cambodia,laos,6
54,cambodia,kenya,6
55,ghana,kenya,6
56,ghana,seychelles,6
57,estonia,lithuania,6
58,finland,romania,6
59,albania,romania,5
60,albania,bulgaria,6
61,bulgaria,poland,6
62,poland,romania,6
63,hungary,romania,6
64,hungary,mongolia,5
65,cuba,mongolia,6
66,cuba,united states,7
67,canada,united states,5
68,australia,canada,6
69,australia,vietnam,4
70,cambodia,vietnam,4
71,cuba,vietnam,5
72,russia,united states,3
73,germany,norway,6
74,greece,italy,2
75,italy,japan,6
76,romania,russia,6
77,india,lebanon,2
78,india,singapore,5
